informant,response,
TN001,attic ,
TN002,NR,
TN003,attic ,
TN003,loft ,
TN004,attic ,
TN005,garret loft ,
TN005,loft ,
TN006,attic ,
TN007,attic ,
TN008,attic ,
TN009,loft ,
TN010,attic ,
TN010,garret ,
TN011,attic ,
TN012,attic ,
TN013,attic ,
TN014,attic ,
TN015,attic ,
TN016,NR,
TN017,attic ,
TN018,loft ,
TN019,attic ,
TN019,loft ,
TN020,attic ,
TN020,loft ,
TN021,loft ,
TN022,attic ,
TN023,garret ,
TN023,loft ,
TN024,attic ,
TN025,garret ,
TN026,attic ,
TN027,attic ,
TN028,attic ,
TN029,attic ,
TN029,loft ,
TN030,attic ,
TN031,attic ,
TN031,loft ,
TN032,attic ,
TN033,attic ,
TN034,attic ,
TN035,attic ,
TN036,garret loft ,
TN036,loft ,
TN037,attic ,
TN037,loft ,
TN037,upstairs ,
TN038,NR,
TN039,attic ,
TN040,attic ,
TN040,loft ,
TN041,attic ,
TN042,garret loft ,
TN043,attic ,
TN044,attic ,
TN044,scuttling hole ,
TN045,attic ,
TN045,half story ,
TN045,loft ,
TN046,attic ,
TN047,attic ,
TN047,loft ,
TN048,garret ,
TN049,attic ,
TN050,attic ,
TN050,upstairs ,
TN051,attic ,
TN052,NR,
TN053,attic ,
TN054,attic ,
TN055,attic ,
TN056,attic ,
TN057,loft ,
TN058,attic ,
TN059,loft ,
TN060,attic ,
GA061,attic ,
GA061,loft ,
GA062,NR,
GA063,NR,
GA064,attic ,
GA064,upstairs ,
GA065,attic ,
GA066,upstairs ,
GA067,attic ,
GA068,NR,
GA069,loft ,
GA070,loft ,
GA071,attic ,
GA071,loft ,
GA071,upstairs ,
GA072,loft ,
GA073,attic ,
GA074,attic ,
GA074,loft ,
GA075,attic ,
GA076,NR,
GA077,NR,
GA078,attic ,
GA079,attic ,
GA080,NR,
GA081,attic ,
GA082,attic ,
GA083,attic space ,
GA083,loft ,
GA084,loft ,
GA085,loft ,
GA086,NR,
GA087,attic ,
GA088,attic ,
GA089,attic ,
GA090,attic ,
GA090,loft ,
GA091,attic ,
GA092,attic ,
GA093,attic ,
GA094,attic ,
GA095,attic ,
GA096,attic ,
GA096,storage attic ,
GA097,attic ,
GA098,attic ,
GA099,attic ,
GA099,doghouse ,
GA100,attic ,
GA101,attic ,
GA102,attic ,
GA103,attic ,
GA103,loft ,
GA104,attic ,
GA105,attic ,
GA106,attic ,
GA107,attic ,
GA108,attic ,
GA109,attic ,
GA110,attic ,
GA111,loft ,
GA112,attic ,
GA113,attic ,
GA114,NR,
GA115,NR,
GA116,attic ,
GA117,attic ,
GA118,NR,
GA119,loft ,
GA120,NR,
GA121,attic ,
GA121,loft ,
GA122,attic ,
GA122,loft ,
GA123,attic ,
GA124,attic ,
GA125,loft ,
GA126,attic ,
GA126,loft ,
GA127,NR,
GA128,NR,
GA129,NR,
GA130,NR,
GA131,attic ,
GA132,NR,
GA133,attic ,
GA134,loft ,
GA135,attic ,
GA135,upstairs ,
GA136,loft ,
GA137,attic ,
GA138,loft ,
GA139,attic ,
GA140,loft ,
GA140,room upstairs ,
GA141,attic ,
GA142,attic ,
GA143,NR,
GA144,attic ,
GA145,NR,
GA146,attic ,
GA147,NR,
GA148,attic ,
GA149,attic ,
GA150,attic ,
GA151,loft overhead ,
GA152,attic ,
GA153,NR,
GA154,loft ,
GA155,attic ,
GA156,NR,
GA157,NR,
GA158,loft ,
GA159,attic ,
GA160,NR,
GA161,attic ,
GA162,attic ,
GA162,cock loft ,
GA162,loft ,
GA163,attic ,
GA164,attic ,
GA165,attic ,
GA166,loft ,
GA166,upstairs ,
GA167,attic ,
GA167,shed room ,
GA168,NR,
GA169,attic ,
GA170,attic ,
GA170,garret ,
GA171,attic ,
GA172,attic ,
GA173,NR,
GA174,NR,
GA175,NR,
GA176,attic ,
GA177,attic ,
GA178,NR,
GA179,attic ,
GA180,attic ,
GA181,attic ,
GA182,NR,
GA183,attic ,
GA184,attic ,
GA184,loft ,
GA185,attic ,
GA185,loft ,
GA186,attic ,
GA187,NR,
GA188,loft ,
GA189,attic ,
GA190,attic ,
GA190,half story ,
GA191,attic ,
GA192,loft ,
GA193,NR,
GA194,NR,
GA195,attic ,
GA195,loft ,
GA196,NR,
GA197,NR,
GA198,NR,
GA199,upstairs ,
GA200,NR,
GA201,attic ,
GA202,attic ,
GA202,dormer room ,
GA203,attic ,
GA204,NR,
GA205,NR,
GA206,loft ,
GA207,attic ,
GA208,attic ,
GA208,loft ,
GA209,attic ,
GA210,attic ,
GA211,attic ,
GA211,upstairs ,
GA212,attic ,
GA213,loft ,
GA214,attic ,
GA215,attic ,
GA216,attic room ,
GA217,NR,
GA218,NR,
GA219,NR,
GA220,attic ,
GA221,attic ,
GA222,upstairs ,
GA223,attic ,
GA224,loft ,
GA225,NR,
FL226,attic ,
FL227,attic ,
FL228,attic ,
FL229,attic ,
FL230,attic ,
FL231,attic ,
FL232,attic ,
FL233,attic ,
FL233,attic room ,
FL234,loft ,
FL235,attic ,
FL236,attic ,
FL236,loft ,
FL237,attic ,
FL237,loft ,
FL238,attic ,
FL239,attic ,
FL239,loft ,
FL240,attic ,
FL240,loft ,
FL241,NR,
FL242,loft ,
FL243,attic ,
FL244,NR,
FL245,NR,
FL246,attic ,
FL247,attic ,
FL247,sky parlor ,
FL248,attic ,
FL249,attic ,
FL250,attic ,
FL251,attic ,
FL251,loft ,
FL252,attic ,
FL252,junk room ,
FL252,upstairs ,
FL253,attic ,
FL254,attic ,
FL254,garret ,
FL255,attic ,
FL256,NR,
FL257,attic ,
FL258,attic ,
FL259,attic ,
FL260,attic ,
FL261,attic ,
FL262,attic ,
FL263,attic ,
FL263,loft ,
FL264,attic ,
FL265,NR,
FL266,attic ,
FL267,NR,
FL268,NR,
FL269,attic ,
FL270,attic ,
FL271,attic ,
FL272,attic ,
FL273,attic ,
FL274,attic ,
FL275,NR,
FL276,attic ,
FL277,attic ,
FL277,stand-up attic ,
FL278,attic ,
FL279,attic ,
FL280,NR,
FL281,attic ,
FL282,attic ,
FL283,basement [sic] ,
FL283,chimley (=attic) ,
FL284,attic ,
FL285,attic ,
FL285,crawl space ,
FL286,attic ,
FL287,attic ,
FL288,NR,
FL289,attic ,
TN290,attic ,
TN290,loft ,
TN290,upstairs ,
TN291,attic ,
TN292,attic ,
TN293,attic ,
TN294,attic ,
TN295,attic ,
TN296,attic ,
TN296,garret ,
TN297,attic ,
TN298,NR,
TN299,attic ,
TN300,attic ,
TN301,attic ,
TN301,upstairs ,
TN302,attic ,
TN303,attic ,
TN303,upstairs ,
TN304,attic ,
TN304,upstairs ,
TN305,attic ,
TN306,NR,
TN307,attic ,
TN308,attic ,
TN309,attic ,
TN310,attic ,
TN311,attic ,
TN312,attic ,
TN313,attic ,
TN314,attic ,
TN315,loft ,
TN316,NR,
TN317,attic ,
TN317,upstairs ,
TN318,attic ,
TN318,attic room ,
TN319,NR,
TN320,attic ,
TN320,loft ,
TN321,attic ,
TN322,attic ,
TN323,NR,
TN324,attic ,
TN325,attic ,
TN326,attic ,
TN327,attic ,
TN328,attic ,
TN329,attic ,
TN330,attic ,
TN331,attic ,
TN332,attic ,
TN332,loft ,
TN333,upstairs ,
TN334,attic ,
TN335,attic ,
TN336,upstairs ,
AL337,attic ,
AL338,attic ,
AL338,loft ,
AL339,attic ,
AL340,attic ,
AL340,upstairs ,
AL341,attic ,
AL342,attic ,
AL343,attic ,
AL344,loft ,
AL345,attic ,
AL346,loft ,
AL347,attic ,
AL348,attic ,
AL349,attic ,
AL350,NR,
AL351,attic ,
AL352,attic ,
AL353,attic ,
AL354,attic ,
AL355,attic ,
AL355,loft ,
AL356,attic ,
AL356,loft ,
AL357,attic ,
AL358,attic ,
AL359,attic ,
AL360,attic ,
AL361,loft ,
AL362,NR,
AL363,attic ,
AL364,attic ,
AL365,attic ,
AL365,loft ,
AL366,attic ,
AL367,attic ,
AL367,garret ,
AL368,attic ,
AL368,upstairs ,
AL369,attic ,
AL370,attic ,
AL371,attic ,
AL372,attic ,
AL373,attic ,
AL374,attic ,
AL375,attic ,
AL376,NR,
AL377,loft ,
AL378,attic ,
AL379,attic ,
AL380,attic ,
AL381,NR,
AL382,attic ,
AL383,attic ,
AL384,attic ,
AL384,loft ,
AL385,doghouse ,
AL385,loft ,
AL386,attic ,
AL386,loft ,
AL387,NR,
AL388,loft ,
AL389,attic ,
AL390,loft ,
AL391,attic ,
AL392,loft ,
AL393,upstairs ,
AL394,attic ,
AL395,attic ,
AL395,loft ,
AL396,attic ,
AL396,loft ,
AL397,loft ,
AL398,attic ,
AL399,attic ,
AL399,loft ,
AL400,attic ,
AL401,loft ,
AL402,attic ,
AL403,attic ,
AL403,loft ,
AL404,attic ,
AL405,attic ,
AL405,loft ,
AL406,upstairs ,
AL407,attic ,
AL408,attic ,
AL409,attic ,
AL410,attic ,
AL411,NR,
AL412,attic ,
AL413,attic ,
AL414,attic ,
AL415,attic ,
AL416,attic ,
AL417,NR,
AL418,attic ,
AL419,attic ,
AL420,attic ,
AL420,loft ,
AL421,attic ,
AL422,attic ,
AL423,attic ,
AL424,attic ,
AL424,loft ,
AL425,attic ,
AL425,loft ,
AL426,attic ,
AL426,loft ,
AL427,attic ,
AL428,attic ,
AL428,loft ,
AL429,attic ,
AL429,loft ,
AL430,attic ,
AL431,attic ,
AL432,attic ,
AL433,attic ,
AL434,attic ,
AL435,loft ,
AL436,attic ,
AL437,attic ,
AL438,loft ,
AL439,attic ,
AL440,attic ,
AL441,attic ,
AL442,attic ,
AL443,loft ,
AL444,attic ,
AL444,storage room ,
AL445,attic ,
AL445,loft ,
AL446,attic ,
AL447,attic ,
AL448,attic ,
AL449,attic ,
AL449,upstairs ,
AL450,attic ,
AL451,gutte,gutter (=garret) 
AL451,loft ,
FL452,attic ,
FL453,NR,
FL454,attic ,
FL454,loft ,
FL455,attic ,
FL456,attic ,
FL456,attic room ,
FL457,attic ,
FL457,loft ,
FL458,attic ,
FL459,loft ,
FL460,attic ,
FL461,NR,
FL462,attic ,
FL462,loft ,
FL463,NR,
FL464,NR,
FL465,loft ,
FL466,attic ,
FL467,attic ,
FL468,attic ,
FL469,attic ,
FL470,attic ,
FL471,attic ,
AL472,attic ,
AL473,attic ,
AL473,loft ,
AL474,attic ,
AL475,attic ,
AL476,attic ,
AL477,attic ,
AL478,attic ,
AL479,attic ,
AL480,attic ,
AL480,loft ,
AL481,attic ,
AL482,attic ,
AL482,loft ,
AL483,attic ,
AL484,attic ,
AL485,attic ,
TN486,NR,
TN487,attic ,
TN488,NR,
TN489,attic ,
TN489,upstairs ,
TN490,attic ,
TN491,attic ,
TN492,attic ,
TN492,loft ,
TN492,upstairs ,
TN493,attic ,
TN494,attic ,
TN494,upstairs ,
TN495,attic ,
TN495,loft ,
TN496,attic ,
TN497,NR,
TN498,attic ,
TN499,attic ,
TN500,NR,
TN501,attic ,
TN501,doghouse ,
TN502,attic ,
TN503,loft ,
TN503,upstairs room ,
TN504,attic ,
TN505,attic ,
TN506,attic ,
TN507,attic ,
TN508,attic ,
TN509,storage room ,
TN510,loft ,
TN511,attic ,
TN512,NR,
TN513,attic ,
TN514,attic ,
TN515,attic ,
TN516,attic ,
TN517,attic ,
TN518,attic ,
TN519,attic ,
MS520,attic ,
MS521,NR,
MS522,attic ,
MS523,attic ,
MS524,attic ,
MS524,upstairs ,
MS525,loft ,
MS526,attic ,
MS527,NR,
MS528,attic ,
MS529,attic ,
MS529,upstairs ,
MS530,loft ,
MS531,attic ,
MS532,attic ,
MS533,attic ,
MS533,loft ,
MS534,attic ,
MS534,loft ,
MS535,attic ,
MS536,attic ,
MS537,NR,
MS538,attic ,
MS539,"space, the ",
MS540,loft ,
MS541,attic ,
MS542,loft ,
MS543,loft ,
MS544,attic ,
MS545,attic ,
MS545,loft ,
MS546,NR,
MS547,attic ,
MS548,attic ,
MS549,attic ,
MS550,NR,
MS551,NR,
MS552,NR,
MS553,attic space ,
MS553,loft ,
MS554,upper room ,
MS555,second floor ,
MS556,attic ,
MS557,attic ,
MS558,attic ,
MS559,NR,
MS560,NR,
MS561,NR,
MS562,attic ,
MS562,loft ,
MS563,attic ,
MS564,attic ,
MS565,attic ,
MS565,loft ,
MS566,loft ,
MS567,attic ,
MS567,loft ,
MS568,NR,
MS569,loft ,
MS570,loft ,
MS571,attic ,
MS572,upstairs room ,
MS573,loft ,
MS573,upstairs ,
MS574,attic ,
MS575,attic ,
MS576,attic ,
MS577,attic ,
MS577,loft ,
MS578,NR,
MS579,attic ,
MS580,loft ,
MS581,NR,
MS582,attic ,
MS583,attic ,
MS584,loft ,
MS585,NR,
MS586,loft ,
MS587,attic ,
MS587,loft ,
MS588,loft ,
MS589,attic ,
MS590,attic ,
MS591,attic ,
MS592,attic ,
MS593,loft ,
MS594,attic ,
MS594,loft ,
MS595,attic ,
MS596,loft ,
MS597,NR,
MS598,attic ,
MS598,loft ,
MS599,attic ,
MS600,overhead ,
MS601,attic ,
MS602,attic ,
MS603,NR,
MS604,loft ,
MS604,upstairs ,
MS605,attic ,
MS606,upstairs ,
MS607,loft ,
MS608,attic ,
MS608,loft ,
MS609,NR,
MS610,attic ,
MS610,upstairs ,
MS611,attic ,
MS612,loft ,
MS613,attic ,
MS614,upstairs apartment ,
MS615,attic ,
MS616,attic ,
MS617,attic ,
MS618,attic ,
MS619,attic ,
MS620,attic ,
MS621,attic ,
MS622,attic ,
MS622,loft ,
MS623,attic ,
MS623,loft ,
MS624,attic ,
MS625,attic ,
MS626,attic ,
MS626,dormer room ,
MS627,attic ,
MS628,attic ,
MS629,attic ,
LA630,loft ,
LA631,NR,
LA632,NR,
LA633,attic ,
LA634,attic ,
LA634,loft ,
LA635,attic ,
LA636,attic ,
LA636,loft ,
LA637,loft ,
LA638,upstairs ,
LA639,loft ,
LA640,loft ,
LA641,loft ,
LA642,NR,
LA643,attic ,
LA644,attic ,
LA644,loft ,
LA644,loft room ,
LA645,attic ,
LA646,NR,
LA647,attic ,
LA647,loft ,
LA648,attic ,
LA648,upstairs ,
LA649,attic ,
LA650,attic ,
LA651,NR,
LA652,attic ,
LA653,attic ,
LA654,attic ,
LA654,upstairs ,
LA655,attic ,
LA656,NR,
LA657,attic ,
LA657X,attic ,
LA657Y,attic ,
LA657Z,attic ,
LA657Z,loft ,
LA658,attic ,
LA659,NR,
LA660,loft ,
LA661,attic ,
LA662,attic ,
LA663,NR,
LA664,NR,
LA665,NR,
LA666,loft ,
LA667,attic ,
LA667,loft ,
LA667,upstairs ,
LA668,attic ,
LA668,upstairs ,
LA669,attic ,
LA670,NR,
LA671,attic ,
LA671,loft ,
LA672,attic ,
LA673,attic ,
AR674,attic ,
AR674,loft ,
AR674,open attic ,
AR675,attic ,
AR676,loft ,
AR677,attic ,
AR678,attic ,
AR679,attic ,
AR680,attic ,
AR681,NR,
AR682,attic ,
AR683,NR,
AR684,NR,
AR685,attic ,
AR686,attic ,
AR687,NR,
AR688,loft ,
AR689,loft ,
AR690,attic ,
AR690,loft ,
AR691,attic ,
AR691,loft ,
AR692,attic ,
AR693,attic ,
AR694,NR,
AR695,full attic ,
AR696,attic ,
AR697,loft ,
AR698,NR,
AR699,attic ,
AR700,attic ,
AR701,attic ,
AR702,NR,
AR703,NR,
AR704,attic ,
AR705,attic ,
AR706,attic ,
AR707,attic ,
AR708,attic ,
AR709,attic ,
AR710,attic ,
AR711,attic ,
AR712,attic ,
AR713,loft ,
AR714,attic ,
AR714,loft ,
AR715,NR,
AR716,attic ,
AR716,loft ,
AR716,upstairs ,
AR717,loft ,
AR718,loft ,
AR719,attic ,
AR720,attic ,
AR720,loft ,
AR721,attic ,
AR722,attic ,
AR723,attic ,
AR723,loft ,
AR723,upstairs ,
AR724,attic ,
AR724,loft ,
AR725,attic space ,
AR726,loft ,
AR727,attic ,
AR727,loft ,
AR728,attic ,
AR728,garret ,
AR729,attic ,
AR730,attic ,
AR731,attic ,
AR732,attic ,
AR733,NR,
AR734,NR,
AR735,attic ,
AR736,attic ,
AR737,attic ,
AR738,attic ,
AR739,attic ,
AR740,loft ,
AR741,attic ,
AR742,attic ,
AR743,attic ,
AR744,NR,
AR745,attic ,
AR746,attic ,
AR746,walk-up attic ,
AR747,attic ,
AR747,loft ,
AR748,loft ,
AR749,attic ,
AR750,attic ,
AR751,attic ,
AR752,attic ,
AR753,attic ,
AR754,loft ,
AR755,NR,
LA756,loft ,
LA757,attic ,
LA757,scuttle hole ,
LA758,attic ,
LA758,loft ,
LA759,loft ,
LA760,NR,
LA761,attic ,
LA761,top of the house ,
LA762,NR,
LA763,loft ,
LA764,loft ,
LA764,upstairs ,
LA765,attic ,
LA765,loft ,
LA766,loft ,
LA767,attic ,
LA767,loft ,
LA768,loft ,
LA769,attic ,
LA769,loft ,
LA770,attic ,
LA771,loft ,
LA772,loft ,
LA773,attic ,
LA774,attic ,
LA775,attic ,
LA775,upstairs ,
LA776,attic ,
LA777,attic ,
LA778,attic ,
LA778,loft ,
LA779,attic ,
LA780,attic ,
LA781,upstairs ,
LA782,loft ,
LA783,attic ,
LA783,loft ,
LA784,loft ,
LA784,upstairs ,
LA785,attic ,
LA786,loft ,
LA787,attic ,
LA788,NR,
LA789,attic ,
LA789,loft ,
LA790,attic ,
LA791,attic ,
LA792,loft ,
LA793,loft ,
LA794,loft ,
LA794,upstairs building ,
LA795,attic ,
LA796,attic ,
LA797,loft ,
LA798,loft ,
LA799,NR,
LA800,loft ,
LA801,attic ,
LA802,loft ,
LA803,loft ,
LA804,attic ,
LA805,upstairs ,
LA806,attic ,
LA807,attic ,
LA808,attic ,
LA809,attic ,
LA810,attic ,
LA810,grenier (F) ,
LA811,NR,
LA812,NR,
LA813,attic ,
LA814,loft ,
LA815,attic ,
LA816,attic ,
LA817,attic ,
TX818,loft ,
TX819,attic ,
TX819,ceiling (=attic) ,
TX820,attic ,
TX820,loft ,
TX821,attic ,
TX822,attic ,
TX823,NR,
TX824,attic ,
TX824,loft ,
TX825,attic ,
TX826,attic ,
TX827,attic ,
TX828,attic ,
TX828,loft ,
TX828,top of the house ,
TX829,attic ,
TX829,loft ,
TX830,attic ,
TX831,attic ,
TX832,attic ,
TX833,attic ,
TX834,attic ,
TX835,loft ,
TX836,attic ,
TX836,loft ,
TX837,attic ,
TX838,attic ,
TX839,attic ,
TX840,attic ,
TX841,NR,
TX842,attic ,
TX843,attic ,
TX844,attic ,
TX845,attic ,
TX846,attic ,
TX847,attic ,
TX847,loft ,
TX848,attic ,
TX849,attic ,
TX850,attic ,
TX850,scuttle hole ,
TX851,attic ,
TX852,NR,
TX853,attic ,
TX854,attic ,
TX855,attic ,
TX856,NR,
TX857,loft ,
TX858,attic ,
TX858,loft ,
TX859,attic ,
TX860,attic ,
TX860,loft ,
TX861,attic ,
TX862,attic ,
TX863,attic ,
TX864,attic ,
TX865,attic ,
TX866,attic ,
TX867,attic ,
TX867,loft ,
TX868,NR,
TX869,attic ,
TX869,storage space ,
TX870,attic ,
TX870,attic room ,
TX870,loft ,
TX871,attic ,
TX872,loft ,
TX873,attic ,
TX874,attic ,
TX875,attic ,
TX876,attic ,
TX877,attic ,
TX878,attic ,
TX879,attic ,
TX880,attic ,
TX881,NR,
TX882,attic ,
TX883,attic ,
TX884,attic ,
TX885,attic ,
TX886,attic ,
TX887,attic ,
TX888,attic ,
TX889,attic ,
TX890,attic ,
TX891,attic ,
TX892,NR,
TX893,NR,
TX894,attic ,
TX895,attic ,
TX896,NR,
TX897,air space ,
TX898,attic ,
TX899,attic ,
TX900,attic ,
TX901,attic ,
TX902,attic ,
TX903,attic ,
TX904,attic ,
TX904,garret ,
TX905,attic ,
TX905,garret ,
TX906,attic ,
TX907,attic ,
TX908,attic ,
TX909,attic ,
TX910,attic ,
TX910,upstairs attic ,
TX911,attic ,
NY1,attic,
NY1,garret,
NY2A,garret,
NY2B,attic,
NY2B,garret,
NY2C,garret,
NY2C,attic,
NY3A,attic,
NY3A,garret,
NY3B,attic,
NY3B,garret,
NY3C,attic,
NY3D,attic,
NY3D,garret,
NY4A,garret,
NY4A,attic,
NY4B,garret,
NY4C,attic,
NY5A,NR,
NY5B,attic,
NY5C,attic,
NY5D,attic,
NY5E,attic,
NY5F,attic,
NY5G,attic,
NY5H!,attic,
NY5H!,garret,
NY5I!,attic,
NY6A,attic,
NY6B,attic,
NY7A,attic,
NY7B,attic,
NY7C,attic,
NY7D,attic,
NY7E,attic,
NY7F,attic,
NY7G,attic,
NY7H,attic,
NY7I,attic,
NY7J!,attic,
NY7K!,attic,
NY7L!,garret,
NY7L!,garret,
NY7M!,attic,
NY8,garret,
NY8,attic,
NY9A,attic,
NY9B,garret,
NY9C,attic,
NY10A,garret,
NY10A,attic,
NY10B!,garret,
NY11,attic,
NY11,garret,
NY12A,attic,
NY12A,garret,
NY12B,garret,
NY12B,attic,
NY12C!,attic,
NY12C!,garret,
NY13A,garret,
NY13B!,attic,
NY13B!,garret,
NY14A,attic,
NY14A,garret,
NY14B,attic,
NY14B,garret,
NY15A,garret,
NY15A,attic,
NY15B,attic,
NY16A,garret,
NY16B,garret,
NY16B,attic,
NY17A,up garret,
NY17A,garret,
NY17B,attic,
NY17B,garret,
NY18A,garret,
NY18B,attic,
NY18C!,attic,
NY18C!,garret,higher [than attic]
NY18C!,garret,higher [than attic]
NY19,attic,
NY20A,attic,
NY20A,garret,
NY20B,attic,
NY21,attic,
NY22,attic,
NY22,garret,unfinished
NY23A,attic,
NY23B,attic,
NY23C,attic,
NY24A,garret,
NY24B!,attic,
NY24B!,garret,
NY25A,attic,"""big room”"
NY25A,loft,house or barn
NY25A,big room,
NY25A,garret,
NY25A,attic,"""big room”"
NY25B,attic,
NY26A,attic,
NY26A,garret,
NY26B,attic,
NY26C,attic,
NY27A,upstairs,
NY27A,garret,
NY27B,attic,
NY27C,attic,
NY28A,attic,
NY28A,storerooms,
NY28B,attic,
NY28C,garret,
NY28C,attic,
NY29A,woodshed chamber,
NY29B,attic,
NY29C,kitchen chamber,
NY29C,attic,
NY30A,attic,second story
NY30B,attic,
NY30C,attic,
NY30D,attic,
NY30E,attic,
NY31A,garret,"up to roof, no floor"
NY31B,attic,
NY31B,atticway,
NY32A,attic,log house
NY32B,attic,
NY33A,attic,
NY33B,attic,
NY33C,attic,
NY34A,attic,up above
NY34B,attic,
NY34B,garret,
NY34B,garret,
NY34C,attic,
NY34D!,attic,
NY34D!,garret,
NY34D!,cuddy,"no floor, partitioned"
NY35A,attic,
NY35B,attic,
NY35C!,attic,
NY36A,garret,
NY36B,attic,
NY37A,attic,
NY37B,attic,
NY37C!,attic,
NY38A,attic,
NY38B,attic,
NY38C,attic,
NY39A,garret,
NY39A,attic,
NY39B,attic,
NY40A,attic,
NY40B,attic,
NY40B,garret,
NY41,attic,
NY42A,attic,
NY42A,garret,
NY42B,attic,
NY43A,attic,
NY43B,attic,
NY43C!,attic,
NY44A,attic,
NY44B,attic,
NY45A,garret,
NY45B,attic,
NY45C,attic,
NY45C,attic,
NY45D!,attic,
NY46A,attic,not in house
NY46A,garret,over kitchen
NY46B,attic,
NY46C,attic,
NY47A,garret,
NY47A,attic,
NY47A,attic,
NY47B,attic,
NY47B,garret,
NY48A,attic,
NY48B,open room,
NY48B,garret,
NY48B,cupboard,for soiled clothes
NY48C,garret,"""kitchen chamber”"
NY48C,attic,"""parlor chamber”"
NY48C,kitchen chamber,
NY48C,parlor chamber,
NY48D,attic,
NY49A,attic,
NY49B,attic,
NY49C,attic,
NY49D,attic,
NY50A,third floor,
NY50A,attic,
NY50B,attic,
NY51A,attic,
NY51B,attic,
NY51C,attic,
NY51D,attic,
NY51E!,attic,
NY52A,attic,
NY52B,loft,
NY52B,back loft,
NY52C,attic,
NY53A,attic,
NY53B!,attic,
NY53B!,garrets,
NY54A,attic,
NY54B,attic,
NY55A,attic,
NY55A,garret,
NY55B,back chamber,
NY55B,attics,
NY56A,garret,
NY56A,attic,
NY56A,garret,
NY56B,attic,
NY57A,garret,
NY57B,attic,
NY57C!,attic,
NY58A,attic,
NY58B,garret,
NY58B,attic,
NY58C,attic,
NY58C,cupola,
NY58D!,attic,
NY58E!,attic,
NY58E!,cupola,
NY58F!,attic,
NY58F!,garret,
NY58F!,attic,
NY59A,garret,
NY59A,attic,
NY59B,attic,
NY60A,attic,natural
NY60B!,attic,
NY61A,attic,
NY61B,attic,
NY62A,attic,
NY62B,garret,bed in it
NY62B,garret,bed in it
NY62C,attic,
NY62D!,kitchen chamber,
NY62D!,attic,
NY62D!,garret,not many were used
NY63A,attic,"""not full height"""
NY63A,not full height,
NY63B,attic,
NY63C,attic,
NY63D!,attic,
NY63D!,scuttle hole,
NY64A,attic,
NY64B,attic,
NY64B,garret,
NY64C!,attic,
NJ1A,garret,
NJ1A,up garret,
NJ1B,attic,
NJ1B,garret,
NJ2A,garret,
NJ2A,attic,
NJ2B,attic,
NJ2B,garret,
NJ3A,up garret,
