informant,response,
NJ3B,garret,
NJ3B,attic,
NJ4A,attic,
NJ4A,garret,big one
NJ4B,garret,
NJ4B,attic,
NJ5A,garret,
NJ5B,attic,
NJ6A,attic,
NJ6A,garret,
NJ6B,attic,
NJ7A,garret,
NJ7B!,attic,
NJ7B!,garret,
NJ8A,attic,
NJ8B,garret,
NJ9A,attic,
NJ9A,garret,
NJ9B,attic,
NJ9B,garret,
NJ10A,garret,
NJ10B,garret,
NJ10C,attic,
NJ10D!,attic,
NJ11A,attic,
NJ11A,garret,
NJ11B,garret,
NJ11B,attic,
NJ11C,attic,
NJ11C,garret,
NJ12A,garret,
NJ12B,attic,
NJ12B,garret,
NJ13A,attic,
NJ13A,garret,natural
NJ13B,attic,
NJ13B,garret,
NJ14A,garret,
NJ14B,attic,
NJ14B,garret,
NJ15A,attic,
NJ15A,garret,
NJ15B,garret,
NJ16A,attic,
NJ16A,garret,
NJ16B,attic,
NJ17A,attic,
NJ17A,garret,
NJ17B,garret,
NJ18A,attic,
NJ18B,attic,
NJ18C!,attic,
NJ18D!,attic,
NJ19A,attic,
NJ19B!,attic,
NJ19B!,garret,
NJ20A,garret,
NJ20B,garret,
NJ21A,attic,
NJ21B,attic,
PA1A,garret,
PA1B,attic,
PA1C,attic,
PA1D,attic,
PA1E!,loft,higher [than attic]
PA1E!,attic,unfurnished
PA1E!,garret,as a child
PA1F!,attic,
PA1G!,garret,
PA1G!,attic,rare
PA1H!,attic,
PA1H!,garret,also unfinished
PA2A,attic,
PA2A,garret,natural
PA2B,attic,
PA2B,garret,
PA3A,attic,
PA3A,garret,
PA3B,garret,
PA3C,attic,
PA3C,garret,
PA4A,garret,
PA4A,attic,
PA4B!,attic,
PA4B!,garret,semi-finished
PA5A,garret,
PA5A,attic,
PA5A,garret,
PA5B,attic,
PA5B,garret,
PA5C,attic,
PA5C,garret,
PA5D,attic,
PA5D,garret,
PA5E!,attic,
PA5E!,garret,
PA6A,garret,
PA6B,attic,
PA6C,attic,
PA6D!,attic,
PA7A,garret,
PA7B,garret,
PA7C,garret,
PA7D!,garret,
PA7D!,attic,
PA8A,garret,
PA8A,attic,
PA8B,attic,
PA8B,garret,
PA8C,attic,
PA8C,garret,
PA8D!,attic,
PA8D!,garret,
PA9A,garret,
PA9B,attic,
PA9B,garret,
PA9C!,garret,
PA9C!,attic,
PA10,garret,
PA11A,attic,
PA11A,garret,
PA11B,attic,
PA11B,garret,
PA11B,garret,
PA12A,garret,
PA12B,attic,
PA12B,garret,
PA13A,garret,
PA13B,attic,
PA13B,garret,
PA14A,garret,"""German”"
PA14B,attic,
PA14C,garret,"""Dutch”"
PA15A,attic,
PA15A,garret,
PA15B,garret,
PA15C!,garret,
PA16A,garret,
PA16B,attic,
PA16C,garret,
PA17A,garret,
PA17B,garret,
PA18A,garret,
PA18B!,attic,
PA19A,garret,
PA19B,garret,
PA20A,garret,
PA20B,garret,
PA20B,garret,
PA21A,garret,
PA21B,attic,
PA21B,garret,
PA22A,attic,
PA22A,garret,
PA22B,attic,
PA22B,loft,
PA22B,garret,
PA23A,attic,
PA23A,garret,
PA23B,attic,
PA23B,up garret,
PA24A,garret,
PA24B,garret,
PA25A,attic,
PA25A,garret,
PA25B,garret,
PA25B,attic,
PA26A,attic,
PA26A,garret,
PA26B,attic,
PA26B,garret,
PA27A,attic,
PA27A,garret,
PA27B,attic,
PA27B,garret,
PA28A,garret,
PA28A,attic,
PA28B!,attic,
PA29A,attic,
PA29A,garret,
PA29A,garret,
PA29B,garret,
PA30A,garret,[ɛ˄]: doubtful
PA30B,attic,
PA30B,garret,
PA31A,attic,
PA31A,up garret,
PA31B,attic,
PA31B,garret,
PA32A,attic,
PA32A,garret,
PA32A,garret,
PA32B,attic,
PA32B,garret,
PA33A,attic,
PA33A,garret,
PA33B,attic,
PA33B,garret,
PA34A,garret,
PA34B,attic,
PA34B,garret,
PA34C!,attic,
PA35A,attic,
PA35A,garret,
PA35B,attic,
PA35B,garret,
PA35C,garret,
PA36A,garret,
PA36B,attic,
PA36B,garret,
PA37A,attic,
PA37A,garret,
PA37B,attic,
PA37B,garret,
PA37C,attic,
PA37C,garret,"""Dutch”"
PA38A,attic,
PA38A,garret,
PA38B,attic,
PA38B,garret,
PA39A,attic,
PA39A,garret,
PA39B,garret,
PA39B,attic,
PA40A,attic,
PA40A,garret,
PA40B,garret,
PA41A,garret,
PA41B,attic,
PA41B,garret,
PA42A,attic,
PA42A,garret,
PA42B,attic,
PA42B,garret,
PA43A,attic,
PA43A,garret,
PA43B,attic,
PA43B,garret,
PA44A,garret,
PA44B,attic,
PA44B,garret,
PA45A,loft,
PA45A,garret,
PA45B,attic,
PA45B,garret,
PA46A,garret,
PA46B,attic,
PA46B,garret,
PA47A,garret,
PA47B,attic,
PA47B,garret,[æ˄]: doubtful
PA48A,garret,
PA48B,attic,
PA48B,garret,
PA48C,attic,
PA48C,garret,
PA49A,attic,
PA49A,garret,
PA49B,garret,
PA50A,attic,
PA50B,attic,
PA50C!,attic,
PA50C!,garret,
PA51A,attic,
PA51A,garret,
PA51B,attic,
PA52A,garret,
PA52B!,attic,
PA53A,attic,
PA53B,attic,
PA53B,garret,
PA54A,attic,
PA54A,garret,
PA54B,attic,
PA54B,garret,
PA55A,attic,
PA55B,attic,
PA56A,attic,
PA56A,garret,
PA56A,garret,
PA56A,garret,
PA56B,attic,
PA56B,garret,
PA57A,attic,
PA57A,garret,
PA57B,attic,
PA58A,attic,
PA58A,garret,
PA58B,attic,
PA59A,garret,
PA59B,attic,
PA60A,attic,
PA60A,garret,
PA60B,attic,
PA60B,loft,
PA61A,attic,
PA61A,garret,
PA61B,garret,
PA61B,attic,
PA62A,garret,
PA62B,attic,
PA63A,attic,
PA63A,garret,
PA63B,attic,
PA63B,garret,
PA64A,garret,
PA64B,attic,
PA64B,garret,
PA65A,garret,
PA65B,attic,
PA66A,garret,
PA66B,attic,
PA66B,garret,
PA67A,attic,
PA67A,garret,
PA67B,attic,
WV1!,attic,
WV1!,garret,
WV2,attic,
WV2,garret,
WV3,attic,
WV3,garret,
WV4A,garret,
WV4B,garret,
WV5,attic,
WV6A,garret,
WV6B,attic,
WV7A,garret,
WV7A,garret,
WV7B,attic,
WV7B,garret,as a boy always
WV8A,garret,
WV8B,garret,
WV8B,garret loft,
WV8B,attic,
WV9A,garret,
WV9B,attic,
WV10A,loft,
WV10B,garret,
WV10C,attic,
WV10C,garret,
WV11A,attic,
WV11A,garret,
WV11B!,attic,
WV11B!,loft,
WV12A,attic,
WV12B,attic,
WV12B,loft,
WV13A,attic,
WV13B,attic,
WV14A,attic,
WV14A,garret,
WV14B,attic,
WV15A,garret,
WV15B,attic,
WV15B,garret,
WV16A,garret,
WV16A,garret loft,
WV16B,garret,
WV17A,garret loft,
WV17B,attic,
WV17B,garret,
WV17C,garret,
WV18A,loft,
WV18B,attic,
WV19A,loft,
WV19B,attic,
WV19B,loft,
WV20A,garret loft,
WV20B,garret,
WV20B,loft,log house
WV21A,garret loft,
WV21A,garret loft,
WV21B,attic,
WV22A,garret,
WV22B,attic,
WV22B,garret,
WV23A,garret,
WV23B,attic,
WV24A,attic,
WV24B,attic,
WV25A,attic,
WV25B,attic,
WV26A,loft,
WV26B,attic,
WV27A,garret loft,
WV27B,attic,
WV28A,attic,
WV28B,attic,
WV28B,loft,
WV29A,loft,
WV29B,attic,
WV30A,loft,
WV30B,attic,
WV31A,loft,
WV31B,loft,
WV32A,loft,
WV32B,loft,
WV33A,garret,
WV33B,garret,
WV34A,attic,
WV34B,attic,
WV35A,loft,
WV35B,attic,
WV36A,attic,
WV36A,garret loft,
WV36B,attic,
WV37A,loft,
WV37B!,garret,
WV37B!,attic,
WV38A,loft,
WV38A,garret,
WV38B,attic,
WV39A,attic,
WV39A,loft,
WV39B,attic,
WV39C!,attic,
WV40A,attic,
WV40A,loft,
WV40B,attic,
WV40B,loft,
WV41A,attic,
WV41B,loft,
WV41B,attic,
WV42A,garret loft,
WV42B,garret loft,
WV43A,attic,
WV43A,loft,
WV43B,attic,
WV44A,attic,
WV44B,attic,
WV45A,attic,
WV45B,attic,
WV46A,garret,
WV46B,attic,
WV47A,attic,
WV47A,garret,
WV47B,attic,
WV47B,garret loft,
WV48A,attic,
WV48A,garret,
WV48B,attic,
WV48C,attic,
WV48D,attic,
WV48D,loft,
WV49A,attic,
WV49B,attic,
WV50A,garret,
WV50A,garret loft,
WV50B,attic,
WV50B,garret,
WV51A,attic,
WV51A,garret,
WV51B,attic,
WV51B,loft,
WV52A,garret,
WV52B,attic,
WV52C!,attic,
WV53A,attic,
WV53B,attic,
WV53C!,loft,
WV53C!,garret,occasionally
WV54A,garret,
WV54B,attic,
WV54B,garret,
DE1A,attic,
DE1A,garret,
DE1B,attic,
DE1B,garret,
DE1C!,attic,
DE1C!,garret,
DE2A,garret,
DE2A,attic,
DE2B,attic,
DE2B,garret,
DE2C,garret,
DE3A,garret,
DE3B,attic,
DE3B,garret,
DE3C!,attic,
DE3C!,garret,
DE4,garret,
DE5A,attic,
DE5A,garret,
DE5B,attic,
DE6A,garret,
DE6B,garret,
MD1A,attic,
MD1B,attic,
MD1B,garret,
MD2A,garret,
MD2B,attic,
MD3A,attic,
MD3A,garret,
MD3B,attic,
MD4A,garret,
MD4B,attic,
MD4B,garret,
MD4C,attic,
MD4C,garret,
MD5A,attic,
MD5B,attic,
MD5B,garret,
MD6A,attic,
MD6A,garret,
MD6A,garret,
MD6B,attic,finished
MD6B,garret,simple
MD7A,garret,
MD7B,attic,
MD7B,garret,
MD7C!,garret,
MD7C!,attic,
MD8A,attic,
MD8A,garret,
MD8B,garret,
MD9N,garret,
MD9N,attic,
MD9A,attic,
MD9A,garret,
MD9B,garret,
MD10A,garret,
MD10B,garret,
MD11,garret,
MD12A,attic,
MD12A,garret,as a child
MD12B,garret,
MD13A,attic,
MD13B,garret,
MD13C,attic,
MD13D!,attic,over front of home
MD13D!,kitchen garret,over kitchen; for old furniture
MD13E!,garret,
MD13E!,attic,
MD13F!,garret,
MD13G,NR,
MD14,garret,
MD14,garret,
MD14,attic,
MD15A,garret,
MD15B,garret,
MD15B,attic,
MD16,garret,
MD17A,garret,
MD17B,garret,
MD18A,garret,
MD18B,attic,
MD18B,garret,
MD19A,attic,
MD19B,attic,
MD20A,attic,
MD20A,garret,
MD20B,attic,
MD20B,loft,
MD20C!,attic,
MD21A,attic,
MD21A,garret,
MD21B,attic,
MD21B,loft,
MD22N,attic,
MD22N,garret,natural
MD22M,garret,
MD22A,attic,
MD22B,attic,
MD22C!,garret,
MD23A,attic,
MD23B,garret,
MD23C,attic,
MD23C,garret,
MD24,garret,
MD24,cuddies,back corners
MD25,garret,
MD26A,garret,
MD26B,attic,
MD26B,garret,
MD27A,garret,
MD27B,garret,
MD27B,attic,
DC1A,attic,
DC1A,garret,mother said
DC1B!,attic,
VA1!,garret,
VA2A,attic,first heard of when 25 yers old
VA2A,garret,
VA2B,attic,
VA3A,garret,
VA3B,garret,
VA3B,attic,rare
VA3C,garret,
VA4N,garret,as a child
VA4N,attic,
VA5A,garret,
VA5A,attic,hyperurbanization
VA5B,garret,
VA5B,attic,rare
VA6A,garret,
VA6B,garret,
VA7A,garret,
VA7B,garret,
VA8A,garret,
VA8B,garret,
VA8C!,attic,
VA8C!,garret,
VA9A,garret,
VA9B!,garret,
VA10A,loft,
VA10B,attic,
VA10B,garret,
VA11A,garret,
VA11B,attic,
VA11B,garret,
VA12N,garret,
VA12A,garret,
VA12B!,attic,
VA12B!,garret,
VA13A,attic,
VA13A,garret,
VA13B,attic,
VA14A,garret,
VA14B,attic,
VA14C,attic,
VA14C,garret,
VA15N,garret,
VA15A,garret,
VA15B,attic,
VA15B,garret,no light or ventilation
VA16A,garret,
VA16A,attic,
VA16B,attic,
VA16B,garret,
VA17A,attic,
VA17B,attic,
VA18,attic,
VA18,garret,
VA19A,garret,
VA19B,attic,
VA19B,garret,
VA19C!,garret,
VA20A,gallery,
VA20B,attic,
VA20B,garret,
VA20C,NR,
VA21N,garret,[t]: unexploded
VA21A,attic,
VA21B,garret,
VA22,attic,
VA22,loft,
VA23A,garret,
VA23B,loft,unfinished
VA23B,garret,third story room
VA24,attic,
VA24,garret,
VA25,garret,
VA26A,NR,
VA26B,garret,
VA26C,attic,
VA26C,garret,
VA27,garret,
VA28A,garret,
VA28A,attic,
VA28B,garret,
VA29,garret,
VA30A,attic,
VA30A,garret,
VA30B!,NR,
VA30C!,attic,
VA30C!,garret,
VA30C!,sky parlor,= roof garden
VA30D!,garret,unfinished room
VA30D!,attic,finished room
VA30E!,attic,
VA30E!,garret,
VA31A,garret,
VA31B,garret,
VA31C,NA,
VA32!,attic,unfinished
VA32!,garret,to sleep in
VA33A,gallery,
VA33B,garret,
VA33B,attic,
VA34A,attic,same [as garret]
VA34A,garret,same [as attic]
VA34B,attic,
VA34B,garret,also
VA35A,gallery,
VA35B,attic,
VA36A,attic,
VA36A,cuddy,
VA36B,garret,
VA36B,attic,
VA37,attic,
VA37,attic,
VA38,loft,unfinished
VA38,attic,
VA38,garret,
VA39!,attic,
VA39!,garret,
VA40A,attic,
VA40B,attic,
VA41A,garret,
VA41B,attic,unfinished
VA41B,garret,used as room
VA42A,garret,
VA42A,upstairs,where rafters are in a one-story cabin
VA42A,attic,
VA42B,attic,
VA43N,gallery,
VA43A,attic,
VA43B,garret,
VA44A,attic,
VA44A,garret,
VA44B,attic,
VA44B,garret,
VA45A,garret,in two-story house
VA45B,attic,
VA46N,garret,
VA46A,attic,"small, under roof"
VA46A,garret,"larger [than attic], to store things"
VA46B!,attic,
VA46B!,garret,
VA47,garret,
VA47,joists,
VA48A,garret,
VA48A,attic,
VA48B,attic,
VA48B,garret,
VA49A,garret,
VA49A,garret,
VA49B,attic,
VA49B,garret,
VA50A,attic,
VA50A,garret,as a boy
VA50B,attic,
VA50B,cuddy,sloping-roofed room at back
VA51A,upstairs,finished
VA51A,attic,unfinished
VA51B,NA,
VA51C,attic,
VA51C,garret,
VA52A,attic,
VA52A,garret,
VA52B,attic,
VA52B,garret,
VA52C!,attic,
VA52C!,garret,natural
VA53A,garret,
VA53B,garret,
VA54A,garret,
VA54B,garret,
VA54B,attic,
VA55A,garret,
VA55A,attic,
VA55B,attic,
VA55B,garret,
VA56A,garret,
VA56B,garret,
VA57A,attic,
VA57A,garret,
VA57B,garret,
VA58,garret,
VA58,garret,
VA58,attic,
VA59N,loft,second story
VA59N,upstairs,
VA59N,attic,
VA59N,garret,
VA59A,attic,
VA59A,garret,
VA59B!,garret,
VA59B!,attic,
VA60,garret,
VA61A,attic,
VA61A,garret,natural
VA61B!,garret,
VA61B!,attic,
VA61C,NA,
VA62A,garret,
VA62B,attic,
VA62B,garret,
VA63A,garret,
VA63B,garret,
VA64A,garret,
VA64B,attic,
VA64B,garret,
VA65A,garret,
VA65B,garret,
VA65C!,attic,
VA66A,loft,
VA66B,attic,
VA67A,garret,
VA67A,garret,
VA67B,garret,
VA68A,garret,
VA68B,garret,
VA68B,loft,
VA69A,garret,
VA69B,attic,
VA69B,garret,esp. in factory or storage building
VA70A,attic,
VA70A,garret,
VA70B,garret,
VA70B,attic,
VA71A,garret,
VA71B,garret,
VA71B,attic,
VA72A,loft,
VA72B,garret,
VA73,garret,
VA73,loft,
VA74A,garret,
VA74B!,attic,
VA74B!,garret,
VA75A,garret,
VA75A,loft,
VA75B,garret,
NC1,garret,
NC2A,garret,
NC2B,attic,
NC3A,garret,
NC3B,attic,
NC3B,garret,
NC4A,garret,
NC4B,attic,
NC5A,gallery,
NC5A,garret,
NC5B,attic,
NC5B,garret,
NC6!,garret,
NC6!,attic,
NC7A,loft,unfinished
NC7A,garret,for a room to put things
NC7B,attic,
NC8N,loft,
NC8A,garret,
NC8B,attic,
NC9A,garret,
NC9B,attic,
NC9B,garret,as a child
NC10A,garret,
NC10B,garret,
NC10C,attic,
NC10C,garret,
NC11A,garret,
NC11B,attic,
NC12A,garret,
NC12B,garret,
NC13A,garret,
NC13B,garret,
NC13B,attic,
NC13B,garret,older [than attic]
NC14N,garret,
NC14A,attic,
NC14A,garret,
NC14A,up garret,
NC14B,attic,if unfurnished
NC14B,garret,
NC14B,garret,
NC14C!,attic,unfinished fourth story
NC14C!,garret,third floor of house; finished
NC15A,upper stairs,
NC15B,garret,
NC15C,loft,
NC16A,garret,
NC16B,loft,
NC17A,loft,
NC17B,attic,
NC17B,loft,
NC18A,loft,
NC18B,loft,
NC19A,loft,
NC19A,attic,rare
NC19B,attic,
NC19B,garret,
NC20A,garret,
NC20A,loft,room above main floor of house
NC20B,attic,
NC20B,loft,
NC20C,garret,
NC21A,loft,
NC21B,loft,
NC21B,garret,
NC22A,loft,
NC22B,loft,
NC23A,loft,
NC23B,attic,
NC23C!,attic,
NC23C!,garret,rare
NC23D!,attic,
NC24N,loft,
NC24A,loft,
NC24A,lofts,plural
NC24B,attic,
NC24B,loft,
NC25N,loft,
NC25A,loft,
NC25B,garret,
NC25B,cuddy hole,when not used for sleeping
NC26A,loft,
NC26B,attic,
NC26C!,attic,
NC27A,loft,
NC27B,attic,
NC28A,overhead,
NC28A,loft,
NC28B,loft,
NC28C,attic,
NC28C,loft,
NC29A,loft,
NC29B,attic,
NC30A,loft,
NC30B,attic,
NC31A,gallery,
NC31B,attic,
NC32A,upper room,to live in
NC32A,loft,for plunder [junk]
NC32A,garret,in big house
NC32B!,attic,
NC32B!,garret,finished and floored
NC33A,loft,
NC33A,garret,in large fine house
NC33B,attic,
NC33B,garret,
NC34A,loft,
NC34A,loft,
NC34B,garret,
NC35A,attic,
NC35A,garret,
NC35A,sky parlor,
NC35A,scuttle hole,
NC35B,loft,
NC36N,loft,
NC36A,loft,
NC36B,attic,
NC37A,garret,
NC37B,garret,
NC38N,loft,"""up in the joists”"
NC38N,up in the joists,
NC38A,loft,
NC38B,attic,
NC38B,garret,
NC39A,gallery,"above ""the upstairs”"
NC39A,the upstairs,
NC39B!,garret,
NC40A,loft,
NC40A,upper loft,
NC40A,garret,
NC40A,attic,
NC40B,loft,
NC41!,attic,
NC42A,loft,
NC42B,attic,
NC42B,loft,
NC43A,loft,
NC43B,attic,
NC44,attic,
NC44,loft,
NC45A,upstairs,
NC45A,loft,
NC45B,attic,
NC45B,loft,
NC46A,upstairs,
NC46A,loft,
NC46A,garret loft,in tall house
NC46B,attic,
NC46B,garret,
NC46C!,attic,
NC46C!,garret,
NC47,loft,
NC48,garret,
NC49,NR,
NC50A,attic,
NC50B!,attic,
NC51A,loft,
NC51B,attic,
NC52N,loft,
NC52A,loft,
NC52B,attic,
NC53A,loft,
NC53B,attic,
NC53B,loft,
NC54A,loft,
NC54B,attic,
NC55,loft,
NC55,garret loft,
NC56A,garret,
NC56B!,attic,
NC57A,garret,
NC57B,attic,
NC57B,garret,
NC58A,loft,
NC58B,attic,
NC58B,garret,
NC59,garret,
NC60,garret,
NC61A,loft,in the)
NC61B,attic,rare
NC62A,garret,
NC62B,attic,
NC62B,garret,
NC63A,loft,
NC63B,attic,
NC63B,garret,
NC64A,loft,
NC64A,garret,tall house
NC64B,garret,
NC65A,loft,
NC65A,garret,in tall house
NC65B,attic,
NC65B,garret,
NC66A,loft,
NC66B,attic,
NC67A,garret,
NC67B,garret,
NC67B,loft,
NC68A,loft,
NC68A,attic,
NC68B,attic,
NC69A,loft,
NC69B,garret,
NC70A,loft,
NC70A,garret loft,in tall house
NC70B,loft,unfinished
NC70B,garret,
NC70B,attic,
NC71A,loft,
NC71B,attic,
NC71C!,attic,
NC72A,NR,
NC72B,attic,
NC73A,loft,
NC73B,loft,upstairs; used
NC73B,garret,not used; under roof
NC74A,loft,
NC74A,attic,
NC74B,attic,
NC74B,garret,
NC75A,loft,
NC75A,garret,
NC75B,loft,
NC75B,garret,
SC1A,loft,
SC1B,attic,
SC2A,loft,
SC2B,loft,
SC2C,loft,
SC3A,loft,
SC3B,attic,
SC3C!,attic,
SC3C!,garret,
SC3C!,loft,
SC4A,overhead,no rooms
SC4A,loft,no rooms
SC4B,garret,
SC4B,attic,
SC4C,loft,
SC5A,loft,
SC5A,attic,
SC5A,garret rooms,
SC5B,loft,
SC5C,attic,
SC5D!,garret,
SC5D!,garret,
SC5D!,garret,
SC6N,loft,
SC6N,overhead,
SC6A,loft,
SC6B,upstairs,
SC6B,attic,
SC6C!,attic,
SC6C!,attic,
SC6C!,loft,in poorer houses
SC6D,loft,
SC7N,gallery,
SC7A,garret,
SC7B,attic,
SC7B,garret,
SC7B,garret,
SC7C!,garret,
SC7D!,attic,
SC7D!,loft,"in ""outhouses”"
SC7D!,outhouses,
SC8A,overhead,
SC8A,upstairs,
SC8A,attic,now called
SC8B,loft,
SC8B,upstairs,
SC8B,upstairs,
SC8C,attic,
SC8C,upstairs,
SC8C,attic,
SC8C,upstairs,
SC9A,loft,"""we call it”"
SC9A,we call it,
SC9B,second story,
SC9B,overheaded,if boards under joists
SC9B,loft,if boards over joists
SC9C!,attic,
SC9D!,attic rooms,"""generally put the boys up there”"
SC9D!,garret,
SC9D!,generally put the boys up there,
SC10A,attic,
SC10B!,attic,
SC10C!,attic,above living quarters
SC11N,garret,
SC11M!,garret,
SC11M!,attic,
SC11M!,garret,
SC11A,garret,
SC11A,attic,we cal it too
SC11A,garret room,
SC11A,attic,also
SC11A,garret,
SC11B,attic,
SC11C,garret,
SC11C,attics,
SC11C,attic rooms,
SC11C,storage place,
SC11D,garret,older [than attic]
SC11D,attic,
SC11D,garret,older [than attic]
SC11E,attic,
SC11E,garret,
SC11E,garret,
SC11F,attic,
SC11G!,attic,
SC11G!,garret,
SC11G!,attic,
SC11H!,attic,
SC11H!,garret,
SC11H!,garret,
SC11I!,attic,
SC11I!,garret,
SC11J!,attic,
SC11J!,cock loft,
SC11J!,garret,normal term
SC11J!,garret,normal term
SC12A,loft,"""joists that run across”"
SC12A,joists that run across,
SC12B,attic,
SC12B,garret,Charleston
SC13,garret,"just air space, never used"
SC14A,loft,
SC14A,garret,inhabitable
SC14B,loft,not used for anything in his house
SC15A,garret,
SC15A,upstairs,
SC15A,garret,
SC15B,garret,
SC15B,attic,
SC15C,loft,
SC15C,a attic,
SC16N,loft,
SC16,attic,
SC16,attic staircases,
SC17A,loft,
SC17B,overheaded,
SC17B,upstairs,
SC17C,garret,
SC17D,attic,
SC17D,garret,"""it's been a long time”"
SC18N,attic,used to call
SC18A,attic,
SC18A,garret,usual local term
SC18A,garret,usual local term
SC18A,garret,usual local term
SC18B,attic,
SC18B,garret,rare locally
SC18C!,attic,
SC18C!,loft,
SC18C!,garret,as a child
SC18D!,garret,
SC19N,loft,
SC19N,cock loft,small projection up from flat roof
SC19A,attic room,"Fripps - ""uncle's house”"
SC19A,attic,
SC19A,garret,
SC19A,uncle's house,
SC19B,attic,
SC19C,attic,
SC19C,attic,
SC19D!,garret,
SC19E!,attic,was never finished
SC19E!,garret,local
SC19E!,attic,was never finished
SC19E!,dormer windows,
SC19E!,attic,was never finished
SC20A,loft,
SC20A,upstairs,
SC20B,upstairs,
SC20B,loft,not in use
SC20C,upstairs,
SC20C,loft,
SC20D!,garret,
SC20D!,attic,
SC21A,loft,
SC21B,loft,
SC21B,loft,
SC22N,attic,
SC22A,attic,
SC22A,garret,
SC22B,attic,if a room
SC22B,garret,if unfinished
SC22C!,attic,
SC22C!,third story,
SC22C!,supper rooms,occasionally
SC23A,attic,
SC23B,upstairs,
SC23B,attic,
SC23B,garret,
SC23B,loft,
SC23C,NR,
SC23D,attic,
SC23D,upstairs,
SC23E!,garret,
SC24N,loft,used to be open
SC24A,attic,
SC24A,attic,
SC24A,attic,
SC24B,loft,
SC24B,loft,
SC24C,loft,
SC24C,upstairs,
SC24D!,attic rooms,
SC24D!,garret,we called it
SC25A,upstairs,
SC25A,loft,
SC25B,garret,
SC25C!,attic,
SC26A,overhead,
SC26A,attic,
SC26A,garret,
SC26B!,attic,
SC26B!,garret,
SC27A,attic,
SC27B,attic,
SC27B,upstairs,
SC27B,loft,
SC28A,upstairs,
SC28A,overheading,
SC28B,attic,
SC28C,attic,
SC28D,loft,
SC28D,attic,
SC29B,loft,
SC29B,attic,
SC29A,loft,
SC29A,overheading,
SC29C,overhead,
SC29C,loft,not in use
SC29D,upper story,
SC29D,overheading,
SC29E,attic,some of them had
SC29E,loft,
SC30A,loft,
SC30B,attic,
SC30B,garret,fixed for room
SC30B,loft,
SC30C!,attic,
SC30C!,garret,
SC30C!,garrets,
SC31A,upstairs,
SC31A,loft,
SC31B,garret,
SC32A,garret,
SC32A,attic,
SC32B,garret,
SC32C,NR,
SC32D,attic,neve heard anything else (actual room in log cabins)
SC33A,loft,
SC33B,loft,"used for curing ""wheat”"
SC33B,garret,
SC33B,wheat,
SC34A,upstairs,
