Informant,response mantel 8.4,Comments
NC57B,fire jamb,
NC57B,fireboard,
NC58A,mantel,
NC58A,fireboard,
NC58B,mantel,
NC58B,fireboard,
NC59,fireboard,
NC60,mantel,
NC60,fireboard,
NC61A,fireboard,
NC61B,mantel,
NC61B,fireboard,
NC62A,mantel,
NC62A,fireboard,
NC62B,mantel,
NC62B,fireboard,
NC63A,fireboard,
NC63B,mantelpiece,
NC63B,fireboard,
NC64A,fireboard,
NC64B,fireboard,
NC65A,fireboard,
NC65B,mantel,
NC65B,fireboard,
NC66A,NR,
NC66B,mantel,
NC66B,fireboard,
NC67A,mantel,
NC67A,fireboard,
NC67B,mantel,
NC67B,fireboard,
NC68A,mantelboard,
NC68A,fireboard,
NC68B,mantelpiece,
NC68B,fireboard,
NC69A,fireboard,
NC69B,fireboard,
NC70A,mantelpiece,
NC70A,fireboard,
NC70B,mantel,
NC70B,mantelshelf,
NC71A,fireboard,
NC71B,fireboard,
NC71C!,mantel,
NC71C!,fireboard,
NC72A,fireboard,
NC72B,fireboard,
NC72B,mantel,
NC73A,fireboard,
NC73B,mantel,
NC73B,fireboard,
NC74A,fireboard,
NC74B,mantel,
NC74B,fireboard,
NC75A,fireboard,
NC75B,mantelpiece,
NC75B,mantelboard,
NC75B,fireboard,
SC1A,mantelpiece,
SC1A,fireboard,
SC1B,mantel,
SC1B,fireboard,
SC2A,mantelboard,
SC2B,mantelboard,
SC2C,mantelboard,
SC3A,mantelshelf,
SC3A,fireboard,
SC3B,mantels,
SC3B,mantel,
SC3B,fireboard,
SC3B,fireboard,
SC3C!,mantelpiece,
SC3C!,mantelboard,
SC4A,mantelpiece,
SC4A,mantelboard,
SC4B,mantelpiece,
SC4B,mantelshelf,
SC4C,mantelpiece,
SC5A,mantel,
SC5A,mantelpiece,
SC5A,mantelboard,"for ""clock”"
SC5A,clock,
SC5B,mantelpiece,
SC5C,mantelpiece,
SC5D!,mantel,
SC5D!,shelf,
SC5D!,fire shelf,
SC5D!,fire shelf,
SC6N,mantelpiece,
SC6N,mantel,
SC6A,mantelpiece,
SC6B,mantelpiece,
SC6C!,mantel,
SC6C!,mantelpiece,
SC6D,mantelboard,
SC6D,mantelpiece,
SC7N,mantelpiece,
SC7N,fireboard,
SC7A,mantelpiece,
SC7B,mantelpiece,
SC7B,mantelpiece,
SC7C!,mantelpiece,
SC7D!,mantel,
SC7D!,mantelpiece,
SC7D!,mantelpiece,
SC8A,mantel,
SC8A,shelf,
SC8B,mantelpiece,
SC8C,mantelpiece,
SC9A,mantelpiece,never called anything else
SC9A,mantelpiece,never called anything else
SC9A,mantelpiece,never called anything else
SC9B,mantelpiece,
SC9B,just a board,
SC9B,board,"""just a board”"
SC9C!,mantelpiece,
SC9D!,mantels,
SC9D!,carved mantelpieces,
SC10A,mantel,
SC10B!,mantel,
SC10B!,mantelpiece,
SC10C!,mantelpiece,
SC11N,mantelpiece,
SC11M!,mantel,
SC11M!,mantel,
SC11M!,mantelpiece,
SC11A,mantelpiece,
SC11A,fireboard,shut off fireplace
SC11A,mantelpiece,
SC11B,NR,
SC11C,mantelpiece,
SC11D,mantel,
SC11D,mantel,
SC11D,mantelpiece,
SC11D,mantelpiece,
SC11E,mantelpiece,
SC11F,mantel,
SC11F,mantelpiece,
SC11F,lambrequin,scarf draped in front of mantel
SC11G!,mantelpiece,
SC11H!,mantel,
SC11I!,mantel,
SC11I!,mantelpiece,
SC11J!,mantel,
SC11J!,mantelpiece,
SC11J!,mantelshelf,
SC11J!,chimney breast,
SC12A,mantelshelf,
SC12B,mantelpiece,
SC13,mantel,
SC13,mantelpiece,
SC14A,mantelpiece,
SC14B,mantel,
SC14B,mantelpiece,
SC15A,mantelpiece,
SC15B,mantelpiece,
SC15B,mantel,now
SC15C,mantel,
SC15C,mantelpiece,
SC15C,mantelpiece,
SC16N,mantelpiece,
SC16N,mantelpiece,
SC16N,shelf,
SC16N,bannister,
SC16,mantelpiece,
SC17A,mantelpiece,
SC17A,mantel,
SC17A,mantelshelf,"""old-time name”"
SC17B,mantelpiece,
SC17B,mantelshelf,"""some called it”"
SC17C,mantelpiece,
SC17C,shelf,"""might”"
SC17D,mantelpiece,
SC17D,mantel,
SC17D,mantelshelf,
SC18N,mantel,
SC18N,mantelpiece,
SC18A,mantelshelf,
SC18A,fireboard,board closing for stove in front
SC18A,fire box,metal reflectors
SC18A,chimney box,metal reflectors
SC18B,mantel,
SC18B,mantelpiece,
SC18B,mantelpiece,
SC18C!,mantelpiece,
SC18C!,fireboard,"""I don't call it”"
SC18D!,mantelpiece,
SC19N,mantelpiece,
SC19A,mantelpiece,
SC19A,mantel,
SC19B,mantel,
SC19B,mantelpiece,
SC19C,mantel,
SC19D!,mantelpiece,
SC19E!,mantel,occasionally
SC19E!,mantelpiece,
SC20A,mantelboard,
SC20B,mantelpiece,
SC20B,mantelboard,
SC20C,mantelpiece,
SC20C,mantelboard,
SC20D!,mantelpiece,
SC21A,mantelshelf,
SC21A,mantelboard,
SC21B,mantel,
SC21B,mantelboard,
SC21B,fireboard,
SC22N,mantelpiece,
SC22A,mantelpiece,
SC22B,mantel,
SC22B,mantelpiece,
SC22C!,mantelpiece,
SC22C!,mantel,
SC22C!,mantelboards,"""in back country”"
SC22C!,shelves,
SC23A,mantelpiece,= mantelboard
SC23A,mantelboard,= mantelpiece
SC23B,mantelpiece,
SC23B,fireboard,
SC23C,mantelpiece,
SC23C,mantelboard,
SC23D,mantel,
SC23D,mantelpiece,
SC23D,mantelpiece,
SC23E!,mantelpiece,
SC24N,mantel,
SC24N,shelf,
SC24N,little shelf,
SC24A,mantelpiece,
SC24A,mantelpiece,
SC24A,mantelpiece,
SC24B,mantelpiece,
SC24B,shelf,
SC24C,the shelf,
SC24D!,mantelpiece,
SC25A,mantelboard,
SC25B,mantelpiece,
SC25B,mantelpiece,
SC25B,mantelboard,
SC25C!,mantelpiece,
SC26A,mantel,
SC26B!,mantel,
SC26B!,mantelpiece,
SC26B!,shelf,
SC27A,mantelboard,
SC27B,mantelpiece,
SC27B,mantelboard,
SC28A,mantelpiece,
SC28A,mantelshelf,
SC28B,mantel,
SC28B,mantelpiece,
SC28B,mantelshelf,
SC28C,mantelpiece,
SC28D,mantel,
SC28D,mantelpiece,
SC29A,mantel,
SC29A,mantelpiece,
SC29B,mantelpiece,
SC29C,mantelpiece,
SC29C,mantelpiece,
SC29C,mantelboard,
SC29D,mantelpieces,
SC29D,fireboard,"""some call it”"
SC29E,mantelpiece,
SC30A,mantelpiece,
SC30B,mantel,
SC30B,mantelpiece,
SC30C!,mantel,
SC30C!,mantelpiece,
SC30C!,mantelshelf,
SC31A,mantelpiece,
SC31B,mantelboard,
SC32A,mantelpiece,
SC32A,mantelboard,
SC32B,mantelpiece,
SC32B,shelf,"""in country”"
SC32B,mantel,
SC32C,mantel,
SC32C,mantelshelf,
SC32C,mantelpiece,
SC32D,mantel,
SC32D,mantelpiece,
SC33A,mantelpiece,
SC33A,fireboard,
SC33B,mantel,
SC33B,mantelboard,
SC33B,fireboard,
SC34A,mantelboard,
SC34A,mantelpiece,
SC34B,mantelboards,"""tall, long; took a good carpenter”"
SC34C,mantelboard,
SC35A,fireboard,
SC35A,mantelpiece,
SC35B,mantel,
SC35B,mantelboard,
SC35C,mantel,
SC35D,NA,
SC35E!,mantelboard,
SC35E!,mantelpiece,
SC36A,mantel,
SC36A,fireboard,
SC36B,mantel,
SC36B,fireboard,
SC36C,fireboard,
SC36C,mantelpiece,
SC36D!,mantel,
SC36D!,mantelpiece,
SC37,mantel,
SC37,fireboard,
SC38N,mantelpiece,
SC38N,mantelshelf,
SC38N,fireplace,
SC38N,fireboard,"sealed front of ""fireplace”"
SC38A,mantelpiece,
SC38B,mantelpiece,
SC38B,mantelpiece,
SC38B,mantelboard,
SC38C!,mantelpiece,
SC38D!,mantel,
SC38D!,mantelpiece,
SC38E!,NR,
SC39A,mantel,
SC39A,mantelboard,
SC39A,fireboard,
SC39B!,mantelpiece,
SC39B!,fireboard,
SC39B!,mantelboard,
SC40A,fireboard,"""four feet and a half off the floor”"
SC40A,mantelboard,
SC40A,four feet and a half,
SC40B,mantel,
SC40B,mantelpiece,
SC41A,mantel,
SC41A,fireboard,
SC41B,mantelpiece,
SC41B,mantelpiece,
SC41B,fireboard,
SC41B,fireboard,
SC42N,mantelpiece,
SC42N,mantelboard,
SC42N,fireboard,
SC42N,fireboard,
SC42N,mantelpiece,
SC42N,mantelpiece,
SC42N,tussock,
SC42M,NR,
SC42A,mantel,
SC42A,candle board,
SC42A,fireboard,
SC42A,candle board,
SC42B!,mantelpiece,
SC42B!,fire shelf,
SC42C!,mantel,
SC42C!,mantelshelf,
SC42C!,mantelpiece,
SC42C!,mantel,
SC42C!,mantelpiece,
SC42C!,mantelshelf,
SC42D!,mantelpiece,
SC42D!,mantelpiece,
SC42E!,mantelpiece,
SC43A,mantelpiece,
SC43A,manteltree,
SC43B,mantel,
SC43B,fireboards,
SC43B,fireboard,oldtimers still call it
SC43B,mantelpiece,
SC43B,fireboard,oldtimers still call it
SC43C,mantel,
SC43C,fireboard,
SC44A,mantel,
SC44A,fireboard,"over fireplace, framed and made by cabinet maker"
SC44B,mantelpiece,
SC44B,fireboard,
GA1N,mantelpiece,
GA1A,mantelpiece,
GA1A,mantelpiece,
GA1B,mantel,
GA1C,shelf,in closet
GA1C,mantelpiece,
GA1D,mantelpiece,
GA1D,mantelpiece,
GA1E,mantel,
GA1E,mantelpiece,
GA1F!,mantelpiece,
GA1G!,mantelpiece,
GA1H!,mantel,
GA1H!,mantelpiece,as a child
GA2N,mantelshelf,
GA2A,mantelshelf,
GA2B,mantel,
GA2B,mantelpiece,
GA2B,mantelshelf,
GA3A,mantel,
GA3A,shelf,
GA3B,mantelpiece,
GA4N,mantelpiece,
GA4A,mantel,
GA4A,mantelpiece,usual name
GA4A,mantelpiece,usual name
GA4B,mantel,
GA4C!,mantelpiece,nothing else
GA5A,mantel,
GA5B,NR,
GA5C,mantelpiece,
GA5D!,mantel,
GA5D!,mantelpiece,
GA5E!,mantelpiece,
GA6A,mantelpiece,
GA6B!,mantel,
GA6B!,mantelpiece,"""used to say”"
GA7,mantelboard,"""five foot high”"
GA7,fireboard,
GA7,five foot high,
GA8A,mantelpiece,
GA8A,fireboard,
GA8A,fireboard,
GA8B,mantel,
GA8B,fireboard,
GA8B,mantelpiece,
GA9A,mantel,
GA9B,mantelpiece,
GA9B,mantelshelf,
GA10A,mantelshelf,
GA10B,mantel,
GA10B,mantelpiece,
GA11N,mantelpiece,
GA12A,mantelpiece,
GA12A,fireboard,
GA12B!,mantelpiece,
GA13A,mantelpiece,
GA13B!,mantel,
GA13B!,mantelpiece,
GA13B!,mantelshelf,"""it is a shelf”"
GA13B!,it is a shelf,
GA14A,mantelpiece,
GA14A,mantelshelf,
GA14A,fireboard,
GA14A,fire shelf,
GA14B,mantelshelf,
GA14B,mantelshelf,
GA14C,mantelpiece,
GA14C,mantelshelf,
GA15A,mantelpiece,
GA15B,mantel,
GA15B,mantel,
GA16A,mantel,
GA16A,mantelpiece,
GA16A,shelf,
GA16B,mantelpiece,
GA16B,mantelshelf,
GA16C,mantelpiece,
GA16D!,mantels,
GA16D!,mantelshelf,
GA17N,mantel,
GA17N,mantelpiece,
GA17,mantel,
GA18A,mantelshelf,
GA18B,mantelpiece,older [than fireboard]
GA18B,fireboard,
GA19A,mantelshelf,"""small boy couldn't reach”"
GA19A,mantelpiece,
GA19B,mantel,
GA19B,mantelshelf,
GA20A,mantelshelf,"""lamp or clock or anything else”"
GA20B,mantelpiece,
GA20B,mantel,
GA20B,fireboards,obsolete
GA21A,mantel,
GA21B,mantelpiece,
GA21B,mantel,
GA22A,mantelpiece,
GA22B,mantelpiece,
GA23A,mantelpiece,
GA23A,mantelboard,
GA23B,mantel,
GA23B,mantel,
GA23C,mantel,
GA23D!,mantelpieces,
GA23D!,chimney shelf,not here
GA23D!,shelf,
GA23D!,mantelpieces,
GA23E!,mantel,
GA23F!,mantelpiece,
GA23F!,mantel,
GA24N,mantelpiece,
GA24A,mantelboard,
GA24A,shelf,
GA24B,mantelpiece,
GA25N,mantelpiece,
GA26,mantelpiece,
GA27!,mantel,
GA28,mantel,
GA29A,mantelpiece,
GA29B,mantel,
GA29B,fireboard,
GA29B,mantelpiece,
GA30A,mantelpiece,
GA30A,fireboards,"""we called 'em”; 12 in. by 12 in. split"
GA30B,mantelstone,
GA30B,mantelpiece,
GA30B,fireboard,
GA30B,mantel,
GA30C!,mantelpiece,
GA30C!,mantel,
GA30D,fireboard,"""two names” [re: `mantelpiece']"
GA30D,mantelpiece,"""two names” [re: `fireboard']"
GA30E,NA,
GA31,mantel,
GA31,fireboard,
GA32,mantel,
GA33A,mantel,
GA33B,mantel,
GA34N,shelf,
GA34N,mantelpiece,
GA34A,fireboard,
GA34A,mantel,
GA34B,mantelpiece,"""one about as much as the other” [re: `m.board']"
GA34B,mantelboard,"""one about as much as the other” [re: `m.piece']"
GA35N,mantelpiece,
GA36N,mantelpiece,
GA36N,fireboard,
GA37N,mantel,
GA37N,shelves,
GA37M!,mantel,
GA37M!,mantelpiece,
GA37M!,mantel columns,
GA37A,mantel,
GA37A,fireboard,
GA37B,mantelpiece,
GA37B,mantel,
GA37B,fireboard,"""clock set on it”"
GA37B,mantelpiece,
GA37B,mantelpiece,
GA37C,mantel,
GA37C,mantelpiece,
GA37D!,mantel,
GA37D!,mantelpiece,
GA37E!,mantelpiece,
GA37E!,mantelpiece,
GA37F!,mantelpiece,
GA37G!,mantel,
GA37G!,mantelpiece,
GA37H!,mantelpiece,
GA37I!,mantel,
GA38,mantelboard,
GA39,mantel,
GA40,mantel,
GA41,fireboards,
GA41,mantel,new term
GA42A,mantel,
GA42A,fireboard,
GA42A,fireboard,
GA42B,shelf,
GA42B,fireboard,
GA43,fireboard,
GA44A,fireboard,
GA44B,fireboard,
GA44C,fireboard,
GA44C,mantel,later than fireboard
GA44D,fireboard,
GA44E,mantel,
FL1,mantel,
FL1,mantel,
FL2A,mantelpiece,
FL2B,mantel,
FL2C!,mantel,
FL2C!,mantelpiece,
FL2C!,chimney shelf,
FL3A,mantelpieces,pine
FL3B!,mantel,for decoration
FL4,mantelpiece,
FL5A,mantelpiece,
FL5A,mantelboard,
FL5B,mantelpiece,
TN001,fireplace mantel ,
TN001,mantel ,
TN002,fireplace mantel ,
TN002,mantel ,
TN003,fireplace mantel ,
TN003,mantel ,
TN004,fireplace mantel ,
TN004,mantel ,
TN005,fireplace mantel ,
TN005,mantel ,
TN006,mantel ,
TN007,mantel ,
TN008,fireplace mantel ,
TN008,mantel ,
TN009,mantel ,
TN010,mantel ,
TN011,fireplace mantel ,
TN012,fireplace mantel ,
TN012,mantel ,
TN013,mantel ,
TN014,mantel ,
TN015,mantel ,
TN016,mantel ,
TN017,fireplace mantel ,
TN017,mantel ,
TN018,fireplace mantel ,
TN018,mantel ,
TN019,fireplace mantel ,
TN019,mantel ,
TN020,mantel ,
TN021,fireplace mantel ,
TN021,mantel ,
TN022,mantel ,
TN022,mantelpiece ,
TN023,fireplace mantel ,
TN023,mantel ,
TN024,mantel ,
TN025,fireplace mantel ,
TN025,mantel ,
TN026,mantel ,
TN027,chimney shelf ,
TN027,mantel ,
TN028,mantel ,
TN029,mantelpiece ,
TN030,mantel ,
TN030,shelf ,
TN031,mantelpiece ,
TN032,mantel ,
TN033,mantel ,
TN034,mantel ,
TN035,mantel ,
TN036,fireplace mantel ,
TN037,mantel ,
TN038,mantel ,
TN039,mantel ,
TN040,mantel ,
TN041,mantel ,
TN042,fireplace mantel ,
TN042,mantel ,
TN043,mantel ,
TN043,mantelpiece ,
TN044,fireplace mantel ,
TN044,mantel ,
TN045,mantel ,
TN046,mantel ,
TN047,fireplace mantel ,
TN047,mantel ,
TN048,mantel ,
TN049,mantel ,
TN050,mantel ,
TN051,mantel ,
TN052,mantelpiece ,
TN053,mantel ,
TN054,mantel ,
TN055,stone mantel ,
TN056,mantelpiece ,
TN057,mantel ,
TN057,mantelpiece ,
TN058,mantel ,
TN059,NR,
TN060,mantel ,
GA061,fireplace mantel ,
GA061,mantel ,
GA062,mantel ,
GA063,mantelboard ,
GA064,fireplace mantel ,
GA064,mantel ,
GA065,mantel ,
GA066,mantel ,
GA067,mantel ,
GA068,mantel ,
GA069,fireplace mantel ,
GA069,mantel ,
GA070,mantel ,
GA071,mantel ,
GA072,fireplace mantel ,
GA073,fireplace mantel ,
GA073,mantel ,
GA074,mantelpiece ,
GA075,mantel ,
GA075,mantelpiece ,
GA076,mantel ,
GA077,NR,
GA078,mantel ,
GA079,chimneypiece ,
GA079,mantel ,
GA080,fireplace mantel ,
GA081,mantelpiece ,
GA082,mantelpiece ,
GA083,mantel ,
GA084,fireplace mantel ,
GA084,mantelpiece ,
GA085,mantel ,
GA086,mantel ,
GA087,mantel ,
GA088,fireplace mantel ,
GA088,mantelpiece ,
GA089,mantel ,
GA090,mantel ,
GA091,mantel ,
GA092,fireplace mantel ,
GA092,mantel ,
GA093,mantelpiece ,
GA094,mantel ,
GA094,mantelpiece ,
GA095,fireplace mantel ,
GA096,mantel ,
GA097,mantel ,
GA097,mantelpiece ,
GA098,mantelboard ,
GA098,mantelpiece ,
GA098,manteltree ,
GA099,mantelpiece ,
GA100,mantel ,
GA100,mantelpiece ,
GA101,mantel ,
GA101,mantelpiece ,
GA102,mantel ,
GA103,mantel ,
GA104,mantelpiece ,
GA105,mantel ,
GA106,mantel ,
GA107,mantel ,
GA108,mantel ,
GA109,mantel ,
GA110,mantel ,
GA111,NR,
GA112,mantel ,
GA113,NR,
GA114,mantelpiece ,
GA115,mantelpiece ,
GA116,fireplace mantel ,
GA117,mantelpiece ,
GA118,NR,
GA119,mantel ,
GA120,NR,
GA121,mantel ,
GA122,mantel ,
GA123,mantel ,
GA124,mantel ,
GA124,mantelpiece ,
GA125,mantel ,
GA126,mantelpiece ,
GA127,mantel ,
GA128,mantelpiece ,
GA129,mantelpiece ,
GA130,mantelpiece ,
GA131,mantelpiece ,
GA132,mantelpiece ,
GA133,mantelpiece ,
GA134,mantelpiece ,
GA135,mantel ,
GA135,mantelpiece ,
GA136,fireplace mantel ,
GA136,mantel ,
GA137,mantel ,
GA137,mantelpiece ,
GA138,mantelpiece ,
GA139,mantel ,
GA140,mantelpiece ,
GA141,mantel ,
GA141,mantelpiece ,
GA142,mantel ,
GA143,NR,
GA144,mantelpiece ,
GA145,NR,
GA146,mantel ,
GA147,mantel ,
GA148,mantelpiece ,
GA149,mantelpiece ,
GA150,mantelpiece ,
GA151,mantelshelf ,
GA152,mantelpiece ,
GA153,mantel ,
GA154,mantel ,
GA155,mantelpiece ,
GA156,mantelpiece ,
GA157,mantel ,
GA158,mantel ,
GA159,mantel ,
GA160,mantel ,
GA161,mantel ,
GA162,mantelpiece ,
GA163,mantel ,
GA164,mantel ,
GA165,mantelpiece ,
GA166,mantel ,
GA167,mantel ,
GA167,mantelpiece ,
GA168,mantelpiece ,
GA169,shelf ,
GA170,mantel ,
GA171,mantel ,
GA171,mantelpiece ,
GA172,mantelpiece ,
GA173,mantelshelf ,
GA174,mantelpiece ,
GA175,NR,
GA176,mantel ,
GA177,mantel ,
GA178,mantelshelf ,
GA179,mantelpiece ,
GA180,mantel ,
GA180,mantelpiece ,
GA181,mantel ,
GA182,mantel ,
GA183,mantel ,
GA183,mantelshelf ,
GA184,fireplace mantel ,
GA184,mantel ,
GA184,shelf ,
GA185,mantel ,
GA185,mantelpiece ,
GA186,fireplace mantel ,
GA186,mantel ,
GA187,mantelboard ,
GA188,mantelpiece ,
GA189,mantelpiece ,
GA190,NR,
GA191,mantel ,
GA192,mantel ,
GA193,mantelboard ,
GA193,mantelpiece ,
GA194,shelf ,
GA195,mantelpiece ,
GA196,mantel ,
GA197,mantel ,
GA198,mantelshelf ,
GA199,mantel ,
GA200,mantelpiece ,
GA201,mantelpiece ,
GA202,mantel ,
GA203,mantelpiece ,
GA204,mantel ,
GA205,mantel ,
GA206,mantelpiece ,
GA207,mantelpiece ,
GA208,mantel ,
GA209,mantel ,
GA210,fireplace mantel ,
GA210,mantel ,
GA211,mantel ,
GA212,mantelboard ,
GA213,mantel ,
GA214,mantel ,
GA215,mantelpiece ,
GA216,mantelpiece ,
GA217,chimney shelf ,
GA217,fireboard ,
GA217,mantel ,
GA218,mantel ,
GA219,mantel ,
GA219,mantelpiece ,
GA220,shelf ,
GA220,whatnot shelf ,
GA221,mantel ,
GA222,NR,
GA223,mantelpiece ,
GA224,mantelpiece ,
GA224,shelf ,
GA225,mantelboard ,
FL226,mantelpiece ,
FL227,mantelpiece ,
FL228,NR,
FL229,mantel ,
FL230,mantel ,
FL230,shelf ,
FL231,mantelpiece ,
FL232,mantel ,
FL233,mantel ,
FL234,mantelpiece ,
FL235,mantelpiece ,
FL236,mantelboard ,
FL237,mantelshelf ,
FL238,mantelshelf ,
FL239,mantelboard ,
FL239,mantelpiece ,
FL240,mantel ,
FL241,board ,
FL241,shelf ,
FL242,mantel ,
FL243,mantel ,
FL244,NR,
FL245,NR,
FL246,mantelpiece ,
FL247,NR,
FL248,mantel ,
FL249,mantel ,
FL250,mantel ,
FL251,mantelpiece ,
FL252,shelf ,
FL253,mantel ,
FL254,mantel ,
FL254,shelf ,
FL255,mantel ,
FL256,mantelshelf ,
FL257,mantel ,
FL258,mantelpiece ,
FL259,mantel ,
FL260,mantel ,
FL261,mantel ,
FL262,mantelshelf ,
FL263,mantel ,
FL264,mantel ,
FL265,mantel ,
FL266,mantel ,
FL266,mantelpiece ,
FL266,shelf ,
FL267,mantel ,
FL267,mantelshelf ,
FL267,shelf ,
FL268,NR,
FL269,mantel ,
FL270,mantel ,
FL271,mantelshelf ,
FL271,shelf ,
FL272,mantel ,
FL273,mantel ,
FL274,mantel ,
FL275,mantel ,
FL276,mantel ,
FL277,mantel ,
FL277,mantelpiece ,
FL278,mantel ,
FL279,mantelpiece ,
FL280,NR,
FL281,mantelpiece ,
FL281,shelf over the fireplace ,
FL282,mantel ,
FL282,mantelpiece ,
FL283,NR,
FL284,mantel ,
FL285,NR,
FL286,mantel ,
FL287,NR,
FL288,mantel ,
FL289,mantelpiece ,
TN290,fireplace mantel ,
TN290,mantel ,
TN291,mantel ,
TN292,mantel ,
TN293,mantel ,
TN293,mantelpiece ,
TN293,mantelshelf ,
TN294,mantel ,
TN295,mantel ,
TN295,mantelpiece ,
TN296,mantel ,
TN297,mantel ,
TN298,NR,
TN299,mantel ,
TN300,mantel ,
TN301,mantel ,
TN301,mantelboard ,
TN302,mantel ,
TN303,mantel ,
TN304,mantel ,
TN305,mantel ,
TN306,mantel ,
TN307,mantel ,
TN308,mantel ,
TN309,mantel ,
TN310,mantel ,
TN311,mantel ,
TN312,mantel ,
TN313,mantel ,
TN314,NR,
TN315,fireplace mantel ,
TN315,mantel ,
TN316,mantelpiece ,
TN317,fireplace mantel ,
TN317,mantel ,
TN318,clock shelf ,
TN318,fireplace mantel ,
TN318,mantel ,
TN318,mantelboard ,
TN319,mantel ,
TN320,mantel ,
TN321,fireplace mantel ,
TN321,mantel ,
TN322,mantel ,
TN323,mantel ,
TN324,mantel ,
TN325,mantel ,
TN326,mantel ,
TN327,NR,
TN328,mantel ,
TN329,mantel ,
TN330,mantel ,
TN330,mantelpiece ,
TN331,mantelpiece ,
TN332,mantelpiece ,
TN333,mantelshelf ,
TN334,NR,
TN335,mantel ,
TN336,mantel ,
AL337,mantel ,
AL338,fireplace mantel ,
AL338,mantel ,
AL339,mantel ,
AL339,mantelpiece ,
AL340,mantelpiece ,
AL340,shelf ,
AL341,mantel ,
AL341,mantelpiece ,
AL342,mantel ,
AL343,mantel ,
AL344,mantelpiece ,
AL345,mantelpiece ,
AL346,mantelpiece ,
AL347,mantel ,
AL347,shelf ,
AL348,fireplace mantel ,
AL348,mantel ,
AL349,mantel ,
AL350,fireplace mantel ,
AL350,mantel ,
AL351,mantel ,
AL352,mantel ,
AL353,mantel ,
AL354,mantelpiece ,
AL355,fireplace mantel ,
AL356,mantel ,
AL357,mantel ,
AL358,mantel ,
AL358,mantelshelf ,
AL358,shelf ,
AL359,fireplace mantel ,
AL359,mantel ,
AL360,mantel ,
AL361,mantel ,
AL361,mantelpiece ,
